text,Topic,Subtopic
what amount of time does it take for a transfer to reflect and be available,Other,Unsupported Talk
"There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added?",Funds,Funds Fees
I found the exchange rate for my cash withdrawal is wrong,Funds,Funds Exchange Issues
My card payment has been pending for a long time now. Why is it taking so long to take. It should have already made it through.,Funds,Funds Pending Issues
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,Card,Card Delivery
How do I check security settings on my card?,Card,Card Info
Which fiat currencies can I use through this app?,Funds,Funds Fees
I left my phone at the hotel.,Other,Unsupported Talk
Thanks Ben,Other,Small Talk
Why didn't this transfer work?,Funds,Funds Transfer
What happens if the ATM doesn't give the right amount of money?,Other,ATM Issues
Why does my statement show various transaction times?,Funds,Funds Transfer Issues
I got notified that my top up has been reverted. Why?,Funds,Top Up Issues
There are some card payments that I haven't done myself. What is going on with my card and does somebody else have access to my card?,Funds,Funds Wrong Debit
how can i add money from my amex card,Funds,Top Up Info
My exchange seems to have something wrong with it. I changed over dollars to UK pounds and it appears I was charged way more than I was supposed to be.,Funds,Funds Fees Issues
I paid with card and I was charged a fee,Funds,Funds Fees Issues
I have transactions that I don't recognize - I think someone is using my card.,Other,Scam
Which credit card top-ups do you accept?,Funds,Top Up Info
Why hasn't my payment gone through yet?,Funds,Funds Pending Issues
I bought something in another country but the exchange rate is wrong,Funds,Funds Exchange Issues
How often can I top up my account?,Funds,Top Up Info
Do you support fiat currencies?,Funds,Funds Exchange Info
how do I link an old card?,Funds,Funds Transfer Issues
I noticed a new fee on my account. I didn't know there were fees for these payments. What is the policy?,Funds,Funds Fees
Why did the ATM give me less money than what I requested?,Funds,Funds Fees
I'm not able to activate my card how do I fix this problem?,Card,Card Activation
will you take my bill payment,Funds,Funds Transfer
I'm not sure what I need to verify my identity.,Account,Identity Verification
i was thinking about using my card,Other,Unsupported Talk
Why are you charging me for ATM withdrawal? It has always been free before.,Funds,Withdraw Issues
I have a new phone number and need to edit my contact information.,Account,Account Info Change
My card is missing. Please help.,Other,Scam
Does transferring money have a fee?,Funds,Funds Fees
My balance is not what I thought it was following an ATM withdrawal,Other,ATM Issues
The top up failed,Funds,Top Up Info
whats my recent transactions on my card,Funds,Funds Transaction History
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,Funds,Funds Transfer Info
I live in Germany. Is that one of the countries you are in? What other countries are you in?,Other,Scam
I need a new PIN number.,Account,Reset PIN
I tried to top up but the app rejected it.,Funds,Top Up Issues
What currency is supported for exchanges and holding?,Funds,Funds Exchange Info
Is there a Mastercard ATM nearby?,Other,Find ATM
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,Card,Card Order
For a new payee,Other,Unsupported Talk
It kept my cash,Other,ATM Issues
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,Funds,Top Up Info
I have one other credit card from the US. Do you take that?,Other,Small Talk
Can I order a second card?,Card,Card Order
How long does a bank transfer take to show up in available funds?,Funds,Funds Transfer
Why can't the recepient of my money transaction see it?,Card,Card Activation
My top-up didn't go through,Funds,Top Up Issues
I have a new card and I need to activate it.,Card,Card Delivery
I tried withdrawing money in another country and the exchange rate was wrong.,Funds,Funds Exchange Issues
What options do I have when topping up a US card?,Funds,Top Up Info
I didn't do a payment and I have it now.,Funds,Funds Wrong Debit
i need my pin number,Account,Account Info
For some reason my account logged out and locked me out while I was talking to customer service,Account,Account Issues
I submitted a transaction but it was for the incorrect account.,Funds,Funds Transfer Cancel
Why is there a fee for getting cash?,Funds,Funds Fees
do i have to wait for a physical card before i get my pin,Card,Card Activation
how much is left of mastercard,Card,Card Info
My card doesn't work when I use it.,Card,Card Issues
How long will a transfer be pending for?,Funds,Funds Transfer Info
Why am I being charged again?,Funds,Funds Fees
nope never,Other,Small Talk
freeze my account immediately,Account,Account Suspend
I wanna talk to a real person.,Other,Bot to Human
Which currencies do you handle?,Card,Card Info
How long does it take to activate my card?,Card,Card Activation
Can my friends top up my account?,Funds,Top Up Info
I keep trying to use my card to buy some things and you keep declining it. Why? I've tried multiple times to make it go through but it won't.,Other,Unsupported Talk
Where will I get my card?,Card,Card Delivery
need to know places i can withdraw money,Other,Find ATM
Is there a way to undo a transaction?,Funds,Funds Transaction History
how much money do i have in my account,Account,Account Info
Hello I'm here now,Other,Small Talk
My top-up hasn't happened yet.,Funds,Top Up Issues
What kind of charges should I expect to exchange currencies?,Funds,Funds Fees
I could not get the ATM to work,Other,ATM Issues
I don't have my mobile device and am unable to make the payment because I forgot my details.,Account,Account Issues
There has a recent suspicious withdrawal on my bank account. Is it possible to freeze my card?,Card,Card Block
A transfer has been made in my account that I need to cancel. This was a mistake on my part and I hope we can get this resolved quickly.,Funds,Funds Transfer Cancel
i didnt put that money in my account,Funds,Funds Transfer Info
Yes thank you so much,Other,Small Talk
There is a direct debit payment that I did not make.,Funds,Funds Wrong Debit
i need anyone who can help me pay my electric bill,Other,Unsupported Talk
I need to renew a card that's about to expire,Card,Card Order
"Oh yes, of course the account already exists",Other,Unsupported Talk
What is the length of a transaction completion?,Funds,Automatic Top Up
Help me activate my new card.,Card,Card Activation
Is it possible to get one of your cards in the European Union?,Card,Card Order
what to do about stolen phone,Other,Unsupported Talk
When can I expect the transfer to be complete?,Funds,Funds Transfer
There is a cash withdrawal in my account that isn't mine.,Funds,Funds Wrong Debit
What is the fee charged for using my card?,Funds,Funds Fees
How long do transfers take to show up in my account?,Card,Reset PIN
i want to do a payment on my water bill,Funds,Funds Transfer
"I want to reset my passcode, how can I do that?",Account,Reset Account Password
What is wrong with my top-up?,Funds,Top Up Issues
Help! In the app there is a payment that I don't remember.,Funds,Funds Transfer Issues
"So, I was under the impression that you have an offer for crypto top up. This doesn't seem to be working. Now, the money has just disappeared from my account. What is the deal?",Other,Scam
I have a payment I didnt make on my account,Funds,Funds Wrong Debit
Hi gd after noon,Other,Small Talk
I'd like to provide my daughter with a card - could I get an additional card from my account to give her?,Card,Card Order
I am just waiting for the transaction to be completed.,Funds,Funds Transfer Info
Somebody stole my wallet and is using my card! Can you do something so they can't keep taking my money?,Other,Scam
How long does it take for money to reach my account?,Funds,Funds Transfer Info
How quickly can you get me my card?,Card,Card Delivery
How do I change the PIN?,Account,Reset PIN
It should already be there,Other,Small Talk
The wait for this transfer seems to be taking a very long time.  It is very important that it goes through quickly. Can you please tell me how long it may take?,Card,Reset PIN
I lost my card. Can you help me?,Account,Account Issues
Help me delete my account.  I am not satisfied with the service.,Account,Account Close
i don't need anything else,Other,Small Talk
Why was I not able to take cash from the ATM?,Other,ATM Issues
The app says I made a cash withdrawal even though I didn't.,Funds,Funds Wrong Debit
"Hey, I attempted to top up my card today and for some reason it didn't work. When I did it the other way it worked just fine. Could you help me figure out why this is happening please?",Funds,Top Up Issues
I just got married and need to change my name on the account,Account,Account Info Change
I withdrew cash abroad and the exchange rate applied is wrong.,Funds,Funds Exchange Issues
Why is this fee being charged to me after using my card?,Funds,Funds Fees
I am having some difficulty verifying my id.,Account,Identity Verification
A friend was telling me about her disposable cards. What would I have to do to be able to get that feature?,Card,Card Info
How to I switch my money for the money used in another country?,Funds,Funds Exchange Info
How to order a virtual card,Funds,Funds Transfer Cancel
Can i use this card at any store?,Card,Card Info
What should I do if my card payment was cancelled?,Funds,Funds Balance
The activation process for my card isn't working.,Card,Card Activation
There is money missing from my account.,Funds,Funds Wrong Debit
"i accidentally entered in my retailers information, what should i do next",Funds,Funds Transfer Cancel
I need someone to find out where my money has gone to? It has disappeared. I completed a top up earlier and seen it had went through. Since it has now disappeared I need to know what's going on.,Funds,Top Up Issues
I'll try someone else thanks,Other,Small Talk
"I'd rather not use my physical card, how can I get a virtual card?",Card,Card Order
I only have a card from the US is that okay?,Card,Card Info
can you pull up my most recent transactions,Funds,Funds Transaction History
"I need to hold money, what currencies can I use?",Funds,Funds Exchange Info
It looks like my top-up was cancelled,Funds,Top Up Issues
How long will I have to wait for my new card?,Card,Card Delivery
Can I top up with Google Pay?,Funds,Top Up Info
how do i get the card linked,Card,Card Info
Are there limitations to what currency I can hold?,Funds,Funds Fees
I should not have been charged a fee for my transfer.,Funds,Funds Exchange Issues
What are you talking about my account is suspended,Account,Account Info
Foreign currency rates were put in wrong at an ATM i used.,Funds,Funds Exchange Issues
the exchange rate I got for cash was wrong,Funds,Funds Exchange Issues
Why hasn't my top-up gone through?,Funds,Top Up Issues
I'm still waiting on a payment,Funds,Withdraw Issues
Speak to representative,Other,Bot to Human
Ok at 4,Other,Small Talk
Help please! My rent payment is coming out tomorrow and I made a payment mistake yesterday! Can you put in in the correct account?,Funds,Funds Transfer Cancel
Am I allowed to get an account for my daughter?,Account,Account Creation
"Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me!",Funds,Funds Transfer Issues
What do I need in regards to identification?,Account,Identity Verification
Why does my transfer keep failing? I've tried 5 times and they all failed.,Funds,Funds Transfer Issues
Yes that’s what I want to do,Other,Conversation Control
I'm not sure how to provide my identity.,Account,Identity Verification
How long do I have to wait for my bank transfer to appear in my account?,Funds,Funds Fees Issues
Hello my name is Rhonelle,Other,Small Talk
I see cash withdrawal activity in the app that is not mine.,Funds,Funds Wrong Debit
A fee came along with me paying with card,Funds,Funds Fees
There is a record of payment I never submitted on the app.,Funds,Funds Wrong Debit
"The expiration of my card is near, how do I order a new card?",Card,Card Order
Is auto top up a provided service?,Funds,Automatic Top Up
It's been a few days since I've tried to pay a seller but the funds aren't going through. What is happening?,Funds,Funds Pending Issues
what is the average wait for transfers,Funds,Funds Transfer Issues
How long does it actually take for a card payment to go through? There's one stuck since a couple days already that doesn't seem to move,Funds,Funds Transfer Info
Why is the fee for taking money out so high? I feel I was overcharged and I would have never used this ATM if I would have known ahead of time.,Funds,Funds Fees
It's been a couple days how much longer do I have to wait for my transfer?,Funds,Funds Transfer Issues
When should I expect my card to arrive?,Card,Card Delivery
My card wants to be topped what do you guys support?,Funds,Top Up Info
Is there a way to order a virtual card on the website?,Card,Card Order
Do you have charges now when you pay with a card?,Funds,Funds Fees
Hey I thought transfers were free.  Why are you charging me?,Funds,Funds Transfer
What does my daughter need to open an account?,Account,Account Creation
Can I have it by a certain date?,Card,Card Info
It should be done later today.,Other,Unsupported Talk
How can I change my Rowlock ?,Account,Account Info Change
Do you charge a fee for adding money in USD?,Funds,Funds Fees
How many disposable cards are available per account?,Card,Card Order
"yeah, just book that appointment on Saturday, 26 Oct",Other,Unsupported Talk
"Please help, the atm swallowed my card, what do I do?",Account,Account Info Change
What does the bank charge for lost or stolen card replacements?,Card,Card Order
My ATM transaction was cancelled.,Other,ATM Issues
I'm waiting for my transaction to complete.,Funds,Funds Pending Issues
I was given the wrong amount of cash,Other,Unsupported Talk
"Hello,  I am a college student who I recently attended my high school reunion at a local restaurant. I paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment. What could be the reason for this?  Is there any way to have the fraudulent  payment credited back onto my card?",Other,Scam
hello and thank you!,Other,Small Talk
I don't understand why I was charged extra for withdrawing money?,Funds,Funds Fees Issues
Can I change my PIN without being physically present?,Account,Reset PIN
Can I use app to reset PIN attempts?,Account,Reset PIN
What is the reason that my top-up is still pending?,Funds,Top Up Issues
How can I prove who I am?,Account,Identity Verification
Hello is this a bot or an agent?,Other,Small Talk
block my citibank account right away,Account,Account Close
My card hasn't been working when I try to use it.,Card,Card Issues
Can I get my card fast tracked?,Card,Card Delivery
Why is my withdrawal from the ATM still showing as pending?,Other,ATM Issues
What information do I need to gather in order to activate my card?,Card,Card Activation
I need to freeze my card as soon as possible. I just checked my account and saw that there have been several payments that I don't recognize over the course of a few days. Can we investigate and get my money back?,Account,Account Suspend
"I stupidly initiated a rent payment from the wrong account yesterday. It can't be paid from that account, but it really needs to get paid on time. Am I able to move the payment to the right account?",Account,Account Issues
Can you lookup my password?,Account,Account Info
My account statements show a debit payment that I didn't make it's from some time ago I need to know if it is disputable.,Funds,Funds Wrong Debit
Does it cost anything and how long would it take to get a card if I need a new one? My card is about to expire.,Card,Card Order
My app is showing a cash balance that I did not receive.,Funds,Funds Balance
How long does my top up pending last?,Funds,Top Up Info
How many times can I auto top-up?,Funds,Top Up Info
"I want to deposit funds, what payments are accepted?",Other,Unsupported Talk
"My card still hasn't arrived after two weeks, now what?",Card,Card Delivery
The app says I got cash from an ATM but I didn't,Card,Card Issues
How long do top-ups take to go through,Funds,Top Up Info
I lost my phone. What do I do to block someone else from using my account?,Funds,Funds Pending Issues
Why is the app showing a still pending message on a withdraw that has already been done?,Funds,Funds Pending Issues
do i have enough to cover new skis in my bank of america account,Other,Unsupported Talk
Can I change my name? I am not married.,Account,Account Info Change
"I attempted a transfer, but it failed.",Funds,Funds Transfer Issues
Was there a way for me to get tracking for that?,Other,Unsupported Talk
"I want a card, but I'm not in the UK- can I get one still?",Other,Unsupported Talk
need to exchange currencies,Funds,Funds Exchange
Why does it matter that I prove my identity?,Account,Identity Verification
helloooooooooooooooooooooooooooo,Other,Small Talk
i have to transfer ten dollars from my bank of america account to my capital one account,Funds,Funds Transfer
Shouldn't my new card be here by now?,Card,Card Issues
Why can't I take cash out of the ATM?,Other,ATM Issues
"Yes, this sounds about right.",Other,Unsupported Talk
I ordered my card and it isn't here yet. I need it ASAP. When can I expect to get it?,Card,Card Order
Why can't I use my card?,Card,Card Issues
on the card can you give me the last transactions,Account,Identity Verification
I got a new address and need to change my old one.,Account,Account Info Change
"I would like to give another card to my daughter, how can I proceed?",Account,Account Creation
"When I received my money, it was not in the correct amount. The exchange rate was not what it should have been.",Funds,Funds Exchange Issues
Where are you getting your exchange rates from?,Funds,Funds Exchange Info
The app is showing a direct debit payment that I never made,Funds,Funds Wrong Debit
Can you give me info about what to do when my card expires?,Card,Card Order
I appreciate you so much.,Other,Small Talk
I want to revert this mornings transaction.,Funds,Funds Transfer Cancel
"Yes, thank you",Other,Small Talk
is there enough money in my discover account for a new pair of jeans,Funds,Funds Balance
I need to activate my card.,Card,Card Activation
hi my account wsas suspended,Account,Account Suspend
How do I see my card in the app?,Other,App Info
I think my card payment has been reverted,Funds,Funds Transfer Issues
Why won't my transfer go through?,Funds,Funds Transfer Issues
I would like to better understand why my pass-code is not working.,Account,Account Issues
"So, I see a strange fee that I've never seen before after making an online purchase from abroad. I was under the impression transfers could be made for free. I don't think this seems fair.",Funds,Funds Fees Issues
Can I quickly send a transfer from China?  How long will it take?,Card,Card Issues
There is more than one charge on my account for a transaction.,Funds,Funds Transfer Issues
what amount did i spend for food on chase visa on current bill,Funds,Funds Transfer Info
My new landlord is a lier and is trying to rip me off by saying I've not paid my rent when I have paid my rent. What is going on? They say the money hasn't got to them but I see it going out of my account. Can you check that the money went to the right place?,Other,Unsupported Talk
I'm still waiting for my card that was issued a week ago. What should I do?,Card,Card Delivery
Why do I still have a pending cash withdrawal?,Funds,Withdraw Issues
I made a transaction at an atm and was charged extra for it.,Funds,Funds Fees
Why is there a fee for using my card?,Funds,Funds Fees
I have tried 5 times at this point to complete a transfer that's simply standard. What appears to be the problem? Is your system messed up?,Funds,Funds Transfer
Why was the exchange rate so wrong when I bought something!,Funds,Funds Exchange Issues
"Hi, I sent my landlord my rent money a few days ago and while everything seems good on my end he says that he never got the money. I double checked the account number and it's correct. Can you help me figure this out?",Funds,Funds Transfer Issues
What is needed for identity verification?,Account,Identity Verification
I only got some of the cash I requested from the ATM,Other,ATM Issues
Where is the verification code display?,Account,Identity Verification
How do i secure a top-up card?,Funds,Top Up Info
It's been good so far thanks,Other,Small Talk
I bought something and I take issue with the exchange rate applied.,Funds,Funds Exchange Issues
Top up did not work on the app.,Funds,Top Up Issues
Are there businesses that don't accept this card?,Funds,Funds Pending Issues
How about last Saturday at 10 05 night?,Other,Unsupported Talk
Please tell me why I would have to pay a fee for a recent payment. Thanks.,Funds,Funds Fees
Why can't I use a disposable card?,Card,Card Issues
Tell me how to change my details.,Account,Account Info Change
My card payment didn't go through.,Funds,Funds Transfer Issues
show me all gas purchases within the last month,Funds,Funds Transaction History
Do currency exchanges cost extra?,Funds,Funds Exchange Info
"I topped up and went to buy something, but it says that my funds are pending. Is there a way to quicken this process?",Funds,Funds Pending Issues
"Can I change my pin at ATMs? If so, what ones?",Card,Reset PIN
It starts from the 22nd November,Other,Conversation Control
What places accept my card?,Card,Card Info
My card needs to be topped up.,Funds,Top Up Info
"how do i change my pin number for my account , please",Account,Reset PIN
How do I find the PIN?,Account,Account Info
"I would like to make a purchase, however my card has been declined. I would like to ask the reason for this. The past two weeks, the card has been working fine.",Card,Card Issues
What is the reason my cash withdrawal is still pending?,Funds,Funds Transfer Info
"I can't be sure, but I think that someone may be using my card.",Other,Scam
Why was my transfer charged a fee?,Funds,Funds Fees
Do you have a children account available?,Account,Account Creation
I'm noticing a payment/purchase at a company that I don't recognise.,Funds,Funds Wrong Debit
What should I do if someone else used my card?,Card,Card Block
How do I set up an account for my children?,Account,Account Creation
The card that I have isn't working. This is the physical card.,Card,Card Issues
It would be hard to tell,Other,Conversation Control
The transfer on my account is not showing up.,Funds,Funds Transfer Issues
I have an outgoing transaction,Funds,Funds Transfer Info
I need my card right away.,Card,Card Delivery
Can I top up any amount?,Funds,Top Up Info
I did a money transaction and the recipient doesn't see it,Funds,Funds Transfer Issues
on my card what have been my recent purchases,Funds,Funds Transaction History
How long does it take for a cash withdrawal to show?,Funds,Withdraw Issues
Is there a charge for getting more cards?,Card,Card Order
Some cash has been withdrawn but I didn't do it.,Funds,Funds Wrong Debit
how can i send money from one account to another,Other,Unsupported Talk
When will I receive my card?,Card,Card Delivery
Are top-ups allowed using Apple Pay?,Funds,Top Up Info
What is the longest a US transfer should take to appear in my account?,Funds,Funds Transfer
send money to another account,Funds,Funds Transfer
How can I request cash back? The ATM just gave me a different amount than what I've been actually charged though...,Funds,Funds Transfer Issues
Do you allow currency exchanges?,Funds,Funds Exchange Info
What does it cost to receive a SEPA transfer?,Funds,Funds Transaction History
Why did my top-up not go through?,Funds,Top Up Issues
Can I get spare cards?,Card,Card Order
Unusual direct deposit,Funds,Funds Transfer Info
"Give me my card, I need it now!",Card,Card Delivery
How many payments can I make using a virtual card?,Card,Card Info
I was just contacted by a seller that let me know they didn't get my money even though I'm very sure it was removed from my account. Now it's back in my account. Get this resolved quickly.,Funds,Funds Transfer Issues
Can you tell me my code to get into the app?,Other,App Info
"I received my Virtual card information, but was unable to use it to make a purchase. Why did this happen and what can I do?",Funds,Funds Transfer Issues
please cancel the transaction,Funds,Funds Transfer Cancel
"help , my account is blocked",Account,Account Issues
There is a cash withdrawal from an ATM listed but I don't remember making this withdrawal.,Other,ATM Issues
I need to close my account.  Your company is terrible!,Account,Account Close
how much to get my card in 2 days?,Other,Unsupported Talk
Why did I get declined when trying to get cash?,Funds,Withdraw Issues
I was charged an additional amount of money for making a purchase with my card,Funds,Funds Fees
I am having trouble activating my card.,Card,Card Activation
Are there any top-up limits that I must follow?,Funds,Top Up Info
What do I do if there is a direct debit on my account that shouldn't be there?,Funds,Funds Wrong Debit
I transferred some money but it hasn't arrived yet,Funds,Funds Transfer
Help! I think someone has made a cash withdrawal with my card!,Card,Card Block
why would a merchant refuse a payment,Funds,Funds Transfer Issues
how do i report a fraudulent charge on my visa,Other,Scam
there 's been some fraudulent activity on my card,Other,Scam
My app shows cash I didn't get.,Other,Unsupported Talk
My account isn't showing a transfer I made.,Funds,Funds Transfer
Can you tell me which cards and currencies are supported?,Funds,Funds Fees
How can I see the progress of delivery of the card that was sent?,Card,Card Delivery
Why does it say my account is suspended,Account,Account Issues
Is there a charge for receiving money?,Funds,Funds Fees
What do I do if I detect fraudulent use on my car?,Other,Scam
i wanna pay my cable bill from my checking account,Funds,Funds Transfer
Tell me what I should do after my card expires.,Card,Card Order
Where is a ATM that accepts Mastercard?,Other,Unsupported Talk
Are there any restrictions for the disposable cards?,Card,Card Info
I think I am a victim of fraud. I noticed there was a charge on my account that I didn't do because I haven't touched my card today. Can you please reverse the charge and refund my money?,Funds,Funds Wrong Debit
I've tried using my card multiple times and it keeps getting declined.,Funds,Funds Pending Issues
"I just checked and my payment was cancelled, why?",Funds,Funds Transfer Issues
I don't remember my password,Account,Reset Account Password
I would like to change to a different currency.,Funds,Funds Exchange
What are the fees imposed when I make a transaction?,Other,Unsupported Talk
Is topping up free?,Funds,Top Up Info
The ATM won't give me my card back. I need it back now!,Card,ATM Card Issues
How much does it cost to top up by transfer?,Funds,Top Up Info
The app shows Direct Debit payments that I didn't make,Funds,Funds Wrong Debit
I requested for a top-up but it has not reflected,Funds,Top Up Issues
Why do you need to verify my identity?,Account,Identity Verification
I have been charged a fee for getting cash,Funds,Funds Fees
I used my pin too many times.,Account,Account Issues
The app is saying I made a withdrawl but I didn't.,Funds,Funds Transfer Issues
Will my friends be able to top up my account?,Funds,Top Up Info
I was getting some cash out of the ATM but it cancelled on me without warning.,Other,ATM Issues
plase hold my account for now,Other,Unsupported Talk
"On a card payment, why is there a fee?",Funds,Funds Fees
Can an American resident apply to get a card?,Card,Card Order
"Hello, what is a virtual card and how do I get one?",Card,Card Info
Is there a charge for getting my money?,Funds,Funds Fees
Is the verification number on the top up card,Funds,Top Up Info
I will be traveling. Can I add money automatically?,Funds,Automatic Top Up
Do you receive SWIFT transfers?,Funds,Funds Exchange Info
I think someone may have cloned my card or something. My card isn't lost but I just saw a charge of $500 cash withdraw. Can you help me?,Other,Scam
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate. Thank you.,Funds,Funds Fees Issues
How do I get a PIN?,Account,Reset PIN
What should I do if my phone is lost or stolen?,Account,Account Issues
My card wasn't working in a shop,Card,Card Issues
What is the limit on disposable cards?,Funds,Funds Transaction History
Sure thing!,Other,Small Talk
How do I know when my card will expire?,Card,Card Info
What steps do I have to take to change my PIN?,Card,Reset PIN
Will I be charged a fee for topping up using a European card?,Funds,Top Up Info
What can I do to track the card you sent me?,Card,Card Info
Why has my top-up failed?,Funds,Top Up Issues
"If my phone was stolen, do I need to do anything?",Other,Scam
"I need my PIN, where is it?",Account,Account Info
How can I find your exchange rates?,Funds,Funds Exchange Info
I don't know how to verify my identity.,Account,Identity Verification
Where do you get those exchange rates?,Funds,Funds Exchange Info
Do you charge for transfers?,Funds,Funds Fees
I made a cash withdrawal earlier and it's showing as pending. What does that mean?,Funds,Withdraw Issues
I'm still waiting for the top-up!,Funds,Top Up Issues
Will there be any extra fees if I exchange currencies?,Funds,Funds Fees
What countries do your accounts support?,Other,Unsupported Talk
When will I have access to my pin number?,Account,Account Info
the exchange rate for my withdrawal is wrong,Funds,Funds Exchange Issues
Is there a way to set up an auto top-up?,Funds,Automatic Top Up
I can't get the ATM to give me any cash,Other,ATM Issues
I have a payment which has not been approved.,Funds,Funds Pending Issues
I had a decline on my card. Why?,Funds,Funds Transfer Issues
How do i top up my google pay?,Funds,Top Up Info
I am trying to find out how to exchange currency X with currency Y.,Funds,Funds Exchange
How do I fix a payment that was reverted,Funds,Funds Transfer Issues
my phone was lost,Account,Account Suspend
check my visa account and see if i have enough money for dinner tonight,Account,Account Info
Can we skip verifying?,Account,Identity Verification
hello and let me speak with a human please,Other,Bot to Human
"yeah, please proceed",Other,Small Talk
What does pending payment mean?,Funds,Funds Pending Issues
"i didnt make these transactions, i think my card details might be stolen",Card,Card Block
"|I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine. Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please?",Funds,Funds Pending Issues
"I would like some more physical cards, what is my limit?",Card,Card Info
Will there be a charge for sending out more cards?,Other,Unsupported Talk
What is the purpose of requiring my identification?,Account,Identity Verification
You advertise no fee when paying with a card then my statement shows a fee.,Funds,Funds Fees
I need to change my home address.,Account,Account Info Change
Can I get a new pin number at any ATM using my card?,Account,Reset PIN
What are all the fiat currencies that are supported for both exchange and holding?,Funds,Funds Exchange Info
what did i buy last,Funds,Funds Transaction History
My exchange rate is wrong when I get cash.,Funds,Funds Exchange Issues
Do you have a tracking number for the card I was sent?,Card,Card Delivery
My card payment has been stuck on pending. What is the problem? It should have gone through by now.,Funds,Funds Pending Issues
Could you tell me about the restrictions that are on the disposable cards?,Card,Card Info
I saw a fee on my app from one of my payments and I wasn't sure where it came from. Is there a way you can tell me when there's an additional fee for my payments?,Funds,Funds Fees Issues
is this a bot or person,Other,Bot to Human
I paid with my card so so why was I charged a transaction fee?,Funds,Funds Fees
"I topped-up my account, but I don't think it went through.",Funds,Top Up Issues
I do not,Funds,Funds Pending Issues
Why did the ATM cancel my transaction,Funds,Withdraw Issues
"nope, this is not the correct name of the recipient.",Funds,Funds Transfer Cancel
What steps do I need to take for the identity checking process?,Account,Identity Verification
When will my card be here?,Card,Card Delivery
I have a direct debit on my records that is strange and I need help.,Other,Unsupported Talk
how long should I expect to wait for my card to arrive?,Card,Card Delivery
Why has my card payment been reversed?,Card,Card Issues
Am I charged if I make a top-up?,Funds,Top Up Info
Do you think you're asking for too much information about me?,Other,Unsupported Talk
What should I do if the atm eats my card?,Card,ATM Card Issues
Much appreciated :),Other,Small Talk
Where do I go to reset the passcode?,Account,Reset PIN
I have a fee listed for a transfer.,Funds,Funds Transfer
As my kids get older are they able to get set up with their own accounts?,Account,Account Info
How come I got charged extra for withdrawing cash?,Funds,Funds Fees Issues
Why did my top-up fail?,Funds,Top Up Info
What is the procedure of unblocking my PIN?,Account,Account Restore
Why hasn't my withdrawal shown on my statement?,Funds,Withdraw Issues
"I was charged a transfer fee, why is that?",Funds,Funds Fees
it looks like someone made an unauthorized amazon purchase on my account,Funds,Funds Wrong Debit
When do i activate auto top-up?,Funds,Automatic Top Up
What is the highest amount of top ups I'm allowed?,Funds,Top Up Info
"If I were to use a European bank card for a top up, will I incur a charge?",Funds,Top Up Info
Why would my payment still show as pending?,Funds,Funds Pending Issues
I have a direct debit that I did not set up,Funds,Funds Wrong Debit
what are weekend rates for getting cash,Funds,Funds Exchange Info
Why was I charged for a cash withdrawal at the ATM?,Funds,Funds Fees Issues
I am not,Other,Unsupported Talk
Where do I pay with my debit or credit card?,Card,Card Info
Where do I go to terminate my account?,Other,Unsupported Talk
How do I get a spare card?,Card,Card Order
Why did I get a fee from the ATM?,Funds,Funds Fees Issues
Tell me how to replace my expired card.,Card,Card Info
I refilled my account balance but got an error message.,Funds,Funds Balance
How do I know it is a Mastercard ATM?,Other,Find ATM
Can I use American Express?,Card,Card Info
transfer 20000 from my savings account to checking account,Funds,Funds Transfer
Can I get an account for my daughter?,Account,Account Info
Why was I charged a fee for using my card,Funds,Funds Fees
Thank you! All set on my side.,Other,Small Talk
I need to cancel a transfer I made.,Funds,Funds Transfer Cancel
I sent money to someone but they haven't gotten it yet,Funds,Funds Pending Issues
Why is my transfer still pending?,Funds,Funds Pending Issues
Are there limits with top-up?,Funds,Top Up Info
Why did you cancel my card payment?,Funds,Funds Transfer Cancel
i disagree with a charge,Other,Bot to Human
"In a month, my card will reach its expiration date, am I required to request the next card?",Card,Card Order
What are the rules for using disposable virtual cards?,Card,Card Info
I got a notice from my app that I withdrew cash but I don't remember doing so. How do I fix this?,Funds,Funds Wrong Debit
can I link a card of yours I already have?,Other,App Info
Why did my card get charged twice for a transaction?,Funds,Top Up Issues
Why is there a direct debit fee in the App when I didn't do it?,Funds,Funds Wrong Debit
"I can't see if the transfer I did a couple days ago is in my account yet. I double checked my info before sending, too. Can you check this?",Funds,Funds Transfer
I need help proving that this is really me and to verify my identity.,Account,Identity Verification
Help me verify my identification.,Account,Identity Verification
Good morning my name is sydni,Other,Small Talk
What steps do I need to take to exchange currencies?,Funds,Funds Exchange
I just moved. How do I give you my new address?,Account,Account Info Change
How old does one need to be?,Other,Unsupported Talk
Yes I’m,Other,Small Talk
